               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  14,            0.051961,            0.017103,           0.0042941,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0066693,           0.0066693,           0.0066693
                  15,            0.050201,            0.016535,           0.0042416,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062838,           0.0062838,           0.0062838
                  16,            0.049749,            0.016606,           0.0038324,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058984,           0.0058984,           0.0058984
                  17,            0.048847,            0.015987,            0.003708,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005513,            0.005513,            0.005513
                  18,            0.047888,            0.016118,           0.0034826,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051275,           0.0051275,           0.0051275
                  19,            0.047926,            0.015973,           0.0035223,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047421,           0.0047421,           0.0047421
                  20,            0.047123,             0.01627,           0.0037396,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0043566,           0.0043566,           0.0043566
                  21,            0.046076,            0.016297,           0.0032095,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039712,           0.0039712,           0.0039712
                  22,            0.046259,            0.016062,           0.0033513,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035858,           0.0035858,           0.0035858
                  23,            0.044923,            0.015889,           0.0029477,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032003,           0.0032003,           0.0032003
                  24,            0.045382,            0.015607,            0.003145,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028149,           0.0028149,           0.0028149
                  25,            0.044634,            0.016054,           0.0029983,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024294,           0.0024294,           0.0024294
                  26,            0.044118,            0.015335,           0.0028189,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002044,            0.002044,            0.002044
                  27,            0.043586,            0.015429,           0.0027712,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016586,           0.0016586,           0.0016586
                  28,            0.042837,            0.015489,           0.0030882,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012731,           0.0012731,           0.0012731
                  29,            0.043083,            0.015239,           0.0026073,             0.90418,              0.6326,             0.68624,             0.40684,            0.043029,            0.015133,           0.0026445,          0.00088768,          0.00088768,          0.00088768
