   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.27055,            0.052741,            0.029842,           0.0071406,             0.11935,            0.012467,            0.096481,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
          0.00072189,           0.0078247,          0.00043874,          0.00010801,            0.098408,            0.002289,            0.087341,             0.00722,                0.01,                0.98,              0.0005,              3.2662,             0.90241,             0.09617,             0.03233,                 0.5,             0.64934,             0.78628,             0.84462,                 0.2,              2.9945,                   0,             0.01537,             0.77657,             0.42244,                   0,              0.1151,             0.59818,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
              0.2171,            0.091421,            0.040087,            0.015791,             0.11745,            0.010607,            0.097331,             0.00938,                0.01,             0.90348,             0.00042,              3.1699,                0.95,             0.12822,             0.04963,                 0.5,              1.0832,              1.0014,                   1,                 0.2,              4.2031,                   0,             0.01198,             0.73739,             0.35236,                   0,             0.10221,                 0.5,                   0,                   0,                   0,                 0.5,             0.98837,                   0,                   0,                   3
           0.0006854,            0.009556,          0.00053153,          0.00017044,              0.1144,           0.0031122,             0.12193,             0.01025,                0.01,               0.937,             0.00056,                2.49,             0.85172,             0.09037,             0.03627,             0.51658,                   1,              1.2057,             0.71418,                 0.2,                   4,                   0,               0.015,             0.83131,             0.44117,                   0,             0.08442,             0.69564,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.4733
