               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10703,            0.028808,            0.041245,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033311,           0.0033311,             0.07002
                   1,             0.08483,            0.023518,             0.02262,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0066425,           0.0066425,            0.039998
                   2,            0.078549,            0.020727,            0.015977,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099318,           0.0099318,            0.009954
                   3,            0.069392,            0.020541,            0.012316,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
