               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10938,            0.028733,            0.041322,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00333,             0.00333,             0.07003
                   1,            0.086019,            0.023246,            0.022277,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0066413,           0.0066413,            0.040008
                   2,            0.079836,            0.020399,            0.015506,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099307,           0.0099307,            0.009964
                   3,            0.070917,             0.01988,            0.011549,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.064206,            0.019523,           0.0087323,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.060732,            0.019156,           0.0072486,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.058422,            0.018508,           0.0065856,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.056551,            0.018063,           0.0058619,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.055376,            0.017898,           0.0058979,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.053534,            0.017719,           0.0050836,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.052705,            0.017688,           0.0051347,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                  11,             0.05277,            0.017565,             0.00491,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.051045,            0.017117,           0.0041428,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.050614,            0.017377,           0.0043969,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.050198,            0.016659,           0.0042924,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.049434,            0.016618,           0.0044629,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.049247,            0.016613,           0.0042444,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.048169,            0.016329,           0.0038718,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  18,             0.04818,            0.016383,           0.0043514,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.047762,            0.016421,           0.0039696,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.047816,              0.0168,           0.0035982,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.047067,            0.016093,            0.003659,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.047003,            0.016299,           0.0035788,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.046521,            0.016315,           0.0036745,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.046243,            0.016003,           0.0032939,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.045991,            0.015761,            0.003268,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.045908,            0.016111,           0.0031839,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.044876,            0.015634,           0.0031493,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.045071,            0.015748,            0.003261,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.045009,            0.016046,           0.0031201,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009076,            0.009076,            0.009076
                  30,              0.0448,            0.015624,           0.0031347,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009043,            0.009043,            0.009043
                  31,             0.04451,             0.01569,            0.003273,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.044992,            0.015926,           0.0032609,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.044172,            0.015353,           0.0031386,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.044217,            0.015458,           0.0029724,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.044373,            0.015755,           0.0030355,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.044009,            0.015929,           0.0030624,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.044233,            0.015683,            0.003213,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.043549,            0.015565,           0.0031607,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.044052,            0.015628,           0.0029009,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.043401,            0.015486,           0.0030037,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.042973,            0.015234,           0.0027932,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.042973,            0.014907,           0.0027623,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.043437,            0.015441,            0.002831,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.042689,            0.014966,           0.0028714,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.042741,            0.015211,           0.0030057,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.042876,            0.015536,           0.0028984,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.042259,            0.015003,           0.0025782,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008482,            0.008482,            0.008482
                  48,             0.04261,            0.014923,           0.0027671,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.042239,            0.015072,           0.0025636,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.042544,            0.015053,           0.0028557,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.042097,            0.015058,           0.0027872,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.042154,            0.015024,           0.0027325,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.041721,            0.014569,           0.0026405,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.041214,            0.014843,           0.0024213,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.041675,            0.014978,           0.0026123,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.041518,            0.015072,           0.0026537,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.041052,            0.014565,           0.0024999,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.041817,            0.014959,           0.0026109,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.041451,            0.014872,            0.002562,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.041428,            0.014734,           0.0026203,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.041943,            0.014948,           0.0026829,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.041335,            0.014836,           0.0024206,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.041183,            0.014862,           0.0025317,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.041031,            0.014423,           0.0026435,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.040616,            0.014754,           0.0025017,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.040719,            0.014612,           0.0022919,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007855,            0.007855,            0.007855
